s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Uruzgan,AF25,32.942363,66.132258,187
Bahramcha,1,Z3,29.42026,64.015136,Kunduz,AF19,36.846189,68.741738,157
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Wardak,AF04,34.292078,68.20295,137
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Kunar,AF15,34.94148,71.098978,137
Bahramcha,1,Z3,33.150936,70.029985,Kabul,AF01,34.554066,69.332594,128
Bahramcha,1,Z3,33.150936,70.029985,Ghazni,AF11,33.298822,67.811789,115
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Zabul,AF26,32.193437,67.159692,107
Angor ada,1,Z2,29.42026,64.015136,Logar,AF05,34.013175,69.171596,104
Bahramcha,1,Z3,29.42026,64.015136,Nangarhar,AF06,34.272868,70.472553,104
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Wardak,AF04,34.292078,68.20295,71
Ghulam Khan,1,Z4,34.70799,61.00488,Khost,AF14,33.366603,69.830734,69
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Nangarhar,AF06,34.272868,70.472553,68
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Daykundi,AF24,33.764021,66.184738,68
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Badghis,AF31,35.139966,63.677186,68
Torkham – Bab-i-Pakistan,1,Z7,30.96555,61.823383,Nuristan,AF16,35.403435,70.806989,64
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Kabul,AF01,34.554066,69.332594,60
Bahramcha,1,Z3,33.150936,70.029985,Logar,AF05,34.013175,69.171596,55
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Helmand,AF30,31.185119,64.052756,53
Bahramcha,1,Z3,29.42026,64.015136,Laghman,AF07,34.762935,70.170187,52
Bahramcha,1,Z3,29.42026,64.015136,Baghlan,AF09,35.773178,68.938185,52
Bahramcha,1,Z3,29.42026,64.015136,Khost,AF14,33.366603,69.830734,52
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Kandahar,AF27,31.052452,65.712547,47
Ghulam Khan,1,Z4,34.70799,61.00488,Kunar,AF15,34.94148,71.098978,46
Angor ada,1,Z2,32.519404,69.272673,Kandahar,AF27,31.052452,65.712547,36
Ghulam Khan,1,Z4,34.70799,61.00488,Nuristan,AF16,35.403435,70.806989,23
Bahramcha,1,Z3,29.42026,64.015136,Ghor,AF23,34.223853,64.928959,22
Bahramcha,1,Z3,33.150936,70.029985,Wardak,AF04,34.292078,68.20295,20
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Takhar,AF18,36.702307,69.776281,19
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Badghis,AF31,35.139966,63.677186,19
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Ghazni,AF11,33.298822,67.811789,13
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Kunduz,AF19,36.846189,68.741738,13
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Balkh,AF21,36.671789,67.067123,13
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Ghor,AF23,34.223853,64.928959,13
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Uruzgan,AF25,32.942363,66.132258,13
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Jawzjan,AF28,36.828418,65.841324,13
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Faryab,AF29,36.054515,64.859923,13
Angor ada,1,Z2,32.519404,69.272673,Nangarhar,AF06,34.272868,70.472553,13
Bahramcha,1,Z3,33.150936,70.029985,Nangarhar,AF06,34.272868,70.472553,12
Angor ada,1,Z2,32.519404,69.272673,Wardak,AF04,34.292078,68.20295,11
Angor ada,1,Z2,32.519404,69.272673,Logar,AF05,34.013175,69.171596,8
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Laghman,AF07,34.762935,70.170187,7
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Panjsher,AF08,35.44593,69.794822,7
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Khost,AF14,33.366603,69.830734,7
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Daykundi,AF24,33.764021,66.184738,7
Angor ada,1,Z2,32.165039,60.873467,Nimroz,AF34,30.789339,62.316668,7
Angor ada,1,Z2,32.519404,69.272673,Laghman,AF07,34.762935,70.170187,7
Angor ada,1,Z2,32.519404,69.272673,Baghlan,AF09,35.773178,68.938185,7
Angor ada,1,Z2,32.519404,69.272673,Kunduz,AF19,36.846189,68.741738,7
Angor ada,1,Z2,32.519404,69.272673,Balkh,AF21,36.671789,67.067123,6
Angor ada,1,Z2,32.519404,69.272673,Helmand,AF30,31.185119,64.052756,6
Angor ada,1,Z2,32.519404,69.272673,Takhar,AF18,36.702307,69.776281,4
Angor ada,1,Z2,32.519404,69.272673,Sar-e-Pul,AF22,35.732534,66.13302,4
